relative_sec,EEG1,EEG2,EEG3,EEG4
1.425,-1227.63712,-1547.540682,-1140.774204,-1773.170717
1.43,-1211.540591,-1550.446585,-1125.926801,-1789.080251
1.435,-1199.075504,-1549.253557,-1094.130171,-1790.890363
1.44,-1201.611156,-1556.841814,-1100.18133,-1804.727993
1.445,-1177.754334,-1545.846508,-1023.763954,-1782.980474
1.45,-1200.552765,-1544.829255,-1049.012018,-1788.463168
1.455,-1204.640475,-1549.911779,-1037.941915,-1805.461013
1.46,-1193.820945,-1542.278643,-1104.736528,-1778.443976
1.465,-1211.110502,-1545.281783,-1083.639752,-1779.558466
1.47,-1211.918321,-1550.644799,-1088.774635,-1789.723514
1.475,-1184.373957,-1548.00069,-992.483431,-1794.241313
1.48,-1199.296158,-1535.973172,-1063.242338,-1797.038758
1.485,-1229.230317,-1564.018682,-1079.24911,-1811.777704
1.49,-1259.987255,-1564.721783,-1121.921368,-1799.077004
1.495,-1260.454742,-1554.710071,-1078.669425,-1805.363776
1.5,-1229.813742,-1570.986115,-1066.451172,-1806.018258
1.505,-757.419499,-1557.859066,-1030.073165,-1797.147215
1.51,-1062.183946,-1558.924938,-1001.182438,-1802.532671
1.515,-1267.485754,-1576.184576,-1037.661422,-1812.716419
1.52,-1260.215389,-1582.231994,-1015.173404,-1802.016565
1.525,-915.800522,-1580.870671,-1018.026947,-1821.434126
1.53,-847.509949,-1556.901652,-1003.867686,-1806.553064
1.535,-1027.791826,-1573.630225,-1011.493342,-1818.490824
1.54,-714.683662,-1580.657497,-1009.481276,-1820.873141
1.545,-343.689326,-1572.414757,-1002.416605,-1811.362575
1.55,39.884163,-1559.317627,-1029.650556,-1800.587923
1.555,-158.461431,-1586.207508,-1054.468532,-1818.027077
1.56,-411.173951,-1581.240921,-1063.706085,-1821.161113
1.565,-415.411258,-1578.024607,-1051.525231,-1813.06049
1.57,-451.886502,-1579.382191,-1067.610541,-1812.645361
1.575,-477.73295,-1590.934742,-1100.132711,-1813.109108
1.58,-478.159299,-1584.180482,-1116.853804,-1814.380674
1.585,-464.452566,-1576.311733,-1110.26784,-1811.586969
1.59,-482.362947,-1589.49488,-1129.782638,-1821.924053
1.595,-476.917652,-1591.604184,-1151.646093,-1825.121667
1.6,-451.770565,-1583.009894,-1156.758536,-1816.669493
1.605,-450.375582,-1585.452048,-1176.303253,-1809.013918
1.61,-463.274497,-1580.691156,-1195.724554,-1799.293918
1.615,-461.352189,-1578.245261,-1203.817697,-1798.321544
1.62,-478.51085,-1576.999874,-1244.915458,-1803.448947
1.625,-510.905863,-1581.745807,-1261.535573,-1820.932979
1.63,-513.404116,-1594.700821,-1282.392995,-1827.810655
1.635,-520.659522,-1605.778405,-1295.793057,-1836.434864
1.64,-519.545032,-1612.783237,-1315.517289,-1843.540674
1.645,-517.301092,-1594.958874,-1337.369525,-1817.877481
1.65,-518.273466,-1597.569324,-1340.391364,-1808.789524
1.655,-547.485824,-1598.616496,-1363.058897,-1814.691086
1.66,-557.217044,-1599.622529,-1362.647508,-1816.011271
1.665,-548.02811,-1609.540744,-1369.644861,-1823.195619
1.67,-555.309695,-1604.260005,-1381.070256,-1823.027323
1.675,-675.573658,-1618.789517,-1401.549948,-1829.912479
1.68,-536.81215,-1596.832564,-1399.059174,-1817.286577
1.685,-498.040607,-1568.222329,-1366.020898,-1797.020059
1.69,-502.831419,-1579.894557,-1360.792518,-1791.956234
1.695,-526.34043,-1588.926415,-1388.033949,-1804.473679
1.7,-518.363224,-1570.967416,-1378.418667,-1794.274972
1.705,-618.68604,-1594.536265,-1405.719936,-1825.989324
1.71,-658.332719,-1605.9467,-1411.834673,-1817.211779
1.715,-742.8021,-1593.638689,-1401.351733,-1793.485853
1.72,-645.695597,-1602.468593,-1422.650463,-1809.623522
1.725,-598.931888,-1601.499959,-1408.068593,-1816.071109
1.73,-546.54337,-1597.771279,-1432.744453,-1816.927546
1.735,-589.51108,-1598.552918,-1447.468439,-1816.830309
1.74,-656.593666,-1600.677181,-1419.284553,-1809.114895
1.745,-598.539199,-1593.305838,-1384.294049,-1816.497458
1.75,-514.469988,-1585.945715,-1380.460652,-1817.630647
1.755,-447.159268,-1588.271933,-1338.749548,-1807.514218
1.76,-410.182877,-1573.918197,-1304.750117,-1796.152402
1.765,-384.27285,-1553.741437,-1278.047232,-1786.024753
1.77,-394.112527,-1563.936404,-1261.086785,-1774.748955
1.775,-368.879422,-1546.366354,-1251.075073,-1768.731455
1.78,-404.251396,-1532.913934,-1271.162076,-1764.475449
1.785,-354.282593,-1539.312903,-1243.542915,-1776.237435
1.79,-285.348757,-1543.804522,-1184.594611,-1765.687177
1.795,-339.760561,-1551.74807,-1219.648694,-1780.085792
1.8,-304.018337,-1550.899113,-1261.176543,-1776.297273
1.805,-292.533105,-1558.86136,-1269.419282,-1760.70563
1.81,-314.796729,-1557.470117,-1222.232965,-1774.879851
1.815,-318.693705,-1568.689817,-1249.186424,-1778.844145
1.82,-335.68407,-1567.175157,-1285.9646,-1773.851379
1.825,-352.278006,-1561.703684,-1299.555396,-1771.513941
1.83,-353.332658,-1557.256943,-1345.02136,-1774.330086
1.835,-371.93866,-1565.080813,-1356.577651,-1790.24336
1.84,-389.807902,-1572.811186,-1357.157335,-1774.876111
1.845,-344.585032,-1573.166477,-1341.045846,-1787.225261
1.85,-442.360977,-1569.819267,-1351.38667,-1787.63291
1.855,-494.682177,-1567.885738,-1407.260775,-1785.613364
1.86,-527.544678,-1573.667624,-1431.233534,-1773.383891
1.865,-530.237406,-1563.491356,-1343.450602,-1780.654257
1.87,-500.254628,-1563.483876,-1401.587347,-1785.36653
1.875,-522.873543,-1577.759074,-1425.186116,-1784.356758
1.88,-513.299399,-1568.981529,-1431.323291,-1798.785292
1.885,-451.310557,-1558.85762,-1429.191548,-1776.330932
1.89,-485.085594,-1571.008555,-1420.275627,-1769.31862
1.895,-423.826032,-1563.625992,-1435.923368,-1764.81952
1.9,-440.229234,-1572.781267,-1405.551641,-1768.069493
1.905,-436.567872,-1564.224376,-1410.836119,-1779.117158
1.91,-1440.084007,-1571.57328,-1448.94757,-1793.373656
1.915,-1414.600329,-1571.677997,-1443.199344,-1784.820505
1.92,-1381.962222,-1570.600906,-1396.955481,-1785.519866
1.925,-1340.763484,-1561.344653,-1379.699582,-1769.29244
1.93,-1302.680083,-1563.779328,-1406.095796,-1771.244668
1.935,-1266.739644,-1558.262976,-1407.647855,-1778.918943
1.94,-1252.924454,-1563.611033,-1398.653395,-1773.589586
1.945,-1297.477882,-1561.804661,-1393.473634,-1780.082052
1.95,-1310.380537,-1550.599921,-1388.75014,-1770.956696
1.955,-1316.158682,-1564.142098,-1388.574365,-1782.976734
1.96,-1364.44453,-1573.820959,-1407.984446,-1788.306092
1.965,-1309.030433,-1579.0456,-1407.46086,-1787.819905
1.97,-1253.324623,-1582.912656,-1415.090256,-1779.315372
1.975,-1302.612764,-1572.657851,-1401.664015,-1772.523714
