relative_sec,EEG1,EEG2,EEG3,EEG4
0.9,-1285.052064,-1336.133488,-1207.998905,-1147.967901
0.905,-1272.097051,-1348.276943,-1224.061776,-1181.144554
0.91,-1258.020067,-1345.819829,-1211.533111,-1165.347216
0.915,-1272.751533,-1330.007532,-1212.512965,-1159.505493
0.92,-1269.396843,-1344.798836,-1220.344315,-1177.984338
0.925,-1281.794611,-1341.410487,-1223.657867,-1165.384615
0.93,-1266.90607,-1334.712326,-1224.218851,-1165.104123
0.935,-1256.071579,-1342.214565,-1214.472672,-1154.508986
0.94,-1264.366678,-1353.639959,-1211.136681,-1158.196528
0.945,-1267.908363,-1338.418567,-1205.642768,-1160.765839
0.95,-1275.212387,-1349.48867,-1222.812649,-1170.661614
0.955,-1284.057251,-1349.51485,-1225.131387,-1169.883715
0.96,-1291.286477,-1354.960144,-1219.611295,-1173.100029
0.965,-1287.638205,-1343.112141,-1205.534311,-1191.777089
0.97,-1288.034634,-1333.702553,-1205.912041,-1188.39248
0.975,-1292.769348,-1351.280083,-1198.162969,-1164.730133
0.98,-1278.127639,-1327.685054,-1190.62333,-1190.965531
0.985,-1282.088193,-1337.633188,-1197.37385,-1185.572595
0.99,-1272.203638,-1343.115881,-1197.73662,-1184.338428
0.995,-1265.527916,-1338.197912,-1199.026885,-1178.713619
1,-1271.489317,-1356.003576,-1209.188194,-1178.994111
1.005,-1278.610087,-1333.844669,-1206.039198,-1179.379321
1.01,-1274.933765,-1349.986077,-1208.705746,-1178.825816
1.015,-1268.044869,-1339.065569,-1203.634442,-1163.451087
1.02,-1261.978751,-1310.219721,-1199.96186,-1162.59465
1.025,-1268.108447,-1318.514819,-1189.957628,-1160.567624
1.03,-1279.447824,-1329.798097,-1178.117105,-1168.911341
1.035,-1282.305108,-1309.393203,-1189.602338,-1178.242391
1.04,-1273.886593,-1328.784584,-1180.260067,-1174.704446
1.045,-1286.101106,-1320.272572,-1187.141483,-1153.850764
1.05,-1285.498982,-1317.299352,-1193.809725,-1170.138028
1.055,-1282.686577,-1328.990279,-1214.468932,-1174.775504
1.06,-1293.472449,-1324.150848,-1207.576297,-1184.914373
1.065,-1291.763315,-1339.510617,-1192.807432,-1178.795897
1.07,-1283.70009,-1330.542337,-1209.188194,-1174.839082
1.075,-1271.702491,-1327.262445,-1196.584731,-1167.920268
1.08,-1265.838328,-1316.873003,-1185.701622,-1171.974319
1.085,-1275.019783,-1329.741999,-1183.255727,-1158.592957
1.09,-1274.36156,-1329.876635,-1189.239567,-1149.815412
1.095,-1267.143553,-1333.220106,-1186.722615,-1156.330318
1.1,-1262.274203,-1334.828263,-1187.743607,-1166.069017
1.105,-1242.325577,-1327.299844,-1174.908271,-1169.289071
1.11,-1259.072849,-1314.917035,-1176.707162,-1149.766793
1.115,-1253.485439,-1319.083284,-1179.8038,-1145.851118
1.12,-1240.208794,-1292.260721,-1171.714396,-1144.684269
1.125,-1238.406162,-1304.819305,-1166.598213,-1142.477728
1.13,-1231.453688,-1301.012087,-1167.058221,-1145.38363
1.135,-1249.753018,-1308.843438,-1177.971249,-1162.658228
1.14,-1239.655289,-1320.089317,-1185.189256,-1155.544939
1.145,-1239.258859,-1315.227447,-1180.17405,-1173.661014
1.15,-1269.428632,-1326.477066,-1193.566631,-1160.773319
1.155,-1283.666431,-1335.164854,-1204.423561,-1173.331903
1.16,-1278.09024,-1317.568624,-1197.317751,-1174.221999
1.165,-1277.450718,-1351.205285,-1196.457574,-1162.112203
1.17,-1273.98757,-1313.080744,-1195.286985,-1184.039236
1.175,-1265.471818,-1323.163515,-1194.602584,-1167.157328
1.18,-1246.873295,-1326.402268,-1183.16597,-1150.103384
1.185,-1241.009132,-1327.06423,-1184.306639,-1145.522007
1.19,-1244.737813,-1322.389355,-1185.163076,-1151.322592
1.195,-1250.317743,-1324.655735,-1188.715981,-1151.322592
1.2,-1258.784877,-1329.042637,-1191.894896,-1154.482807
1.205,-1245.246439,-1314.580444,-1197.803938,-1133.240175
1.21,-1259.648794,-1317.258213,-1197.011079,-1135.416797
1.215,-1247.127609,-1321.162668,-1174.706316,-1172.131395
1.22,-1251.862322,-1312.254227,-1183.925169,-1155.638436
1.225,-1257.950879,-1328.758405,-1189.5051,-1167.07879
1.23,-1255.31051,-1320.556804,-1182.664823,-1159.894442
1.235,-1256.286624,-1341.747078,-1184.127124,-1145.189156
1.24,-1225.705462,-1309.681175,-1179.882338,-1183.066862
1.245,-1248.391695,-1317.033819,-1188.095158,-1170.631695
1.25,-1265.610194,-1305.421429,-1183.14727,-1172.909294
1.255,-1281.515989,-1340.756004,-1192.257666,-1174.513711
1.26,-1239.386016,-1311.883976,-1186.322445,-1169.32273
1.265,-1239.887162,-1313.222861,-1181.419436,-1166.259752
1.27,-1229.830571,-1325.407455,-1182.590025,-1162.456274
1.275,-1252.198913,-1333.014411,-1182.496528,-1156.072264
1.28,-1243.144615,-1321.731133,-1181.542853,-1161.970087
1.285,-1267.65218,-1334.525331,-1190.679429,-1160.35071
1.29,-1260.479052,-1339.177766,-1191.266593,-1160.960314
1.295,-1250.310264,-1320.915835,-1179.384931,-1158.656535
1.3,-1252.288671,-1330.097289,-1177.634658,-1162.086024
1.305,-1254.816843,-1308.697582,-1174.055573,-1151.251533
1.31,-1252.808517,-1332.483345,-1192.586778,-1149.568578
1.315,-1243.544785,-1308.129117,-1177.283107,-1127.282515
1.32,-1247.262245,-1314.086777,-1188.600044,-1146.565439
1.325,-1254.521391,-1310.339398,-1194.052818,-1148.158636
1.33,-1243.024938,-1315.089071,-1179.755181,-1162.448794
1.335,-1263.418613,-1318.305385,-1188.300852,-1166.521545
1.34,-1264.233911,-1312.785292,-1195.840491,-1160.653642
1.345,-1264.054396,-1316.338197,-1179.115658,-1163.854996
